combo;rang;type_main
[21 22 23 24 25];0;0
[34 35 36 37 38];0;0
[ 8  9 10 11 12];0;0
[47 48 49 50 51];0;0
[33 34 35 36 37];1;0
[46 47 48 49 50];1;0
[20 21 22 23 24];1;0
[ 7  8  9 10 11];1;0
[32 33 34 35 36];2;0
[45 46 47 48 49];2;0
[19 20 21 22 23];2;0
[ 6  7  8  9 10];2;0
[44 45 46 47 48];3;0
[31 32 33 34 35];3;0
[18 19 20 21 22];3;0
[5 6 7 8 9];3;0
[43 44 45 46 47];4;0
[17 18 19 20 21];4;0
[30 31 32 33 34];4;0
[4 5 6 7 8];4;0
[42 43 44 45 46];5;0
[29 30 31 32 33];5;0
[3 4 5 6 7];5;0
[16 17 18 19 20];5;0
[28 29 30 31 32];6;0
[2 3 4 5 6];6;0
[41 42 43 44 45];6;0
[15 16 17 18 19];6;0
[14 15 16 17 18];7;0
[1 2 3 4 5];7;0
[27 28 29 30 31];7;0
[40 41 42 43 44];7;0
[26 27 28 29 30];8;0
[0 1 2 3 4];8;0
[13 14 15 16 17];8;0
[39 40 41 42 43];8;0
[39 40 41 42 51];9;0
[26 27 28 29 38];9;0
[13 14 15 16 25];9;0
[ 0  1  2  3 12];9;0
[12 25 38 51];10;1
[11 24 37 50];11;1
[10 23 36 49];12;1
[ 9 22 35 48];13;1
[ 8 21 34 47];14;1
[ 7 20 33 46];15;1
[ 6 19 32 45];16;1
[ 5 18 31 44];17;1
[ 4 17 30 43];18;1
[ 3 16 29 42];19;1
[ 2 15 28 41];20;1
[ 1 14 27 40];21;1
[ 0 13 26 39];22;1
[25 37 38 50 51];24;2
[11 12 24 25 38];24;2
[11 12 25 37 38];24;2
[11 12 25 38 50];24;2
[12 24 25 37 38];24;2
[12 24 25 38 50];24;2
[12 25 37 38 50];24;2
[11 12 24 25 51];24;2
[11 12 25 37 51];24;2
[11 12 25 50 51];24;2
[12 24 25 37 51];24;2
[12 24 25 50 51];24;2
[24 25 38 50 51];24;2
[11 12 24 38 51];24;2
[24 25 37 38 51];24;2
[11 25 38 50 51];24;2
[11 25 37 38 51];24;2
[11 24 25 38 51];24;2
[12 25 37 50 51];24;2
[12 24 38 50 51];24;2
[12 24 37 38 51];24;2
[11 12 38 50 51];24;2
[11 12 37 38 51];24;2
[12 37 38 50 51];24;2
[12 23 25 36 51];25;2
[10 12 23 25 38];25;2
[10 12 25 36 38];25;2
[10 12 25 38 49];25;2
[12 23 25 36 38];25;2
[12 23 25 38 49];25;2
[12 25 36 38 49];25;2
[10 12 23 25 51];25;2
[10 12 25 36 51];25;2
[10 12 25 49 51];25;2
[12 23 25 49 51];25;2
[12 25 36 49 51];25;2
[10 12 23 38 51];25;2
[23 25 38 49 51];25;2
[23 25 36 38 51];25;2
[10 25 38 49 51];25;2
[10 25 36 38 51];25;2
[10 23 25 38 51];25;2
[25 36 38 49 51];25;2
[12 23 38 49 51];25;2
[12 23 36 38 51];25;2
[10 12 38 49 51];25;2
[10 12 36 38 51];25;2
[12 36 38 49 51];25;2
[12 22 25 35 51];26;2
[ 9 12 22 25 38];26;2
[ 9 12 25 35 38];26;2
[ 9 12 25 38 48];26;2
[12 22 25 35 38];26;2
[12 22 25 38 48];26;2
[12 25 35 38 48];26;2
[ 9 12 22 25 51];26;2
[ 9 12 25 35 51];26;2
[ 9 12 25 48 51];26;2
[12 22 25 48 51];26;2
[25 35 38 48 51];26;2
[ 9 12 22 38 51];26;2
[ 9 12 35 38 51];26;2
[ 9 12 38 48 51];26;2
[12 22 35 38 51];26;2
[12 22 38 48 51];26;2
[12 35 38 48 51];26;2
[ 9 22 25 38 51];26;2
[ 9 25 35 38 51];26;2
[ 9 25 38 48 51];26;2
[22 25 35 38 51];26;2
[22 25 38 48 51];26;2
[12 25 35 48 51];26;2
[ 8 12 25 47 51];27;2
[ 8 12 25 34 51];27;2
[ 8 12 21 25 51];27;2
[12 25 34 38 47];27;2
[12 21 25 34 51];27;2
[12 21 25 34 38];27;2
[ 8 12 25 38 47];27;2
[ 8 12 25 34 38];27;2
[ 8 12 21 25 38];27;2
[12 21 25 38 47];27;2
[12 21 25 47 51];27;2
[25 34 38 47 51];27;2
[ 8 12 21 38 51];27;2
[21 25 38 47 51];27;2
[21 25 34 38 51];27;2
[ 8 25 38 47 51];27;2
[ 8 25 34 38 51];27;2
[ 8 21 25 38 51];27;2
[12 25 34 47 51];27;2
[12 21 38 47 51];27;2
[12 21 34 38 51];27;2
[ 8 12 38 47 51];27;2
[ 8 12 34 38 51];27;2
[12 34 38 47 51];27;2
[12 20 25 46 51];28;2
[ 7 12 25 33 38];28;2
[ 7 12 25 38 46];28;2
[12 20 25 33 38];28;2
[12 20 25 38 46];28;2
[12 25 33 38 46];28;2
[ 7 12 20 25 51];28;2
[ 7 12 25 33 51];28;2
[ 7 12 25 46 51];28;2
[12 20 25 33 51];28;2
[ 7 12 20 25 38];28;2
[12 25 33 46 51];28;2
[ 7 12 33 38 51];28;2
[ 7 12 38 46 51];28;2
[12 20 33 38 51];28;2
[12 20 38 46 51];28;2
[12 33 38 46 51];28;2
[ 7 20 25 38 51];28;2
[ 7 25 33 38 51];28;2
[ 7 25 38 46 51];28;2
[20 25 33 38 51];28;2
[20 25 38 46 51];28;2
[25 33 38 46 51];28;2
[ 7 12 20 38 51];28;2
[ 6 12 25 45 51];29;2
[ 6 12 25 32 51];29;2
[ 6 12 19 25 51];29;2
[12 25 32 38 45];29;2
[12 19 25 32 51];29;2
[12 19 25 32 38];29;2
[ 6 12 25 38 45];29;2
[ 6 12 25 32 38];29;2
[ 6 12 19 25 38];29;2
[12 19 25 38 45];29;2
[12 19 25 45 51];29;2
[12 25 32 45 51];29;2
[ 6 12 19 38 51];29;2
[19 25 38 45 51];29;2
[19 25 32 38 51];29;2
[ 6 25 38 45 51];29;2
[ 6 25 32 38 51];29;2
[ 6 19 25 38 51];29;2
[25 32 38 45 51];29;2
[12 19 38 45 51];29;2
[12 19 32 38 51];29;2
[ 6 12 38 45 51];29;2
[ 6 12 32 38 51];29;2
[12 32 38 45 51];29;2
[12 18 25 31 51];30;2
[ 5 12 18 25 38];30;2
[ 5 12 25 31 38];30;2
[ 5 12 25 38 44];30;2
[12 18 25 31 38];30;2
[12 18 25 38 44];30;2
[12 25 31 38 44];30;2
[ 5 12 18 25 51];30;2
[ 5 12 25 31 51];30;2
[ 5 12 25 44 51];30;2
[12 18 25 44 51];30;2
[12 25 31 44 51];30;2
[ 5 12 18 38 51];30;2
[18 25 38 44 51];30;2
[18 25 31 38 51];30;2
[ 5 25 38 44 51];30;2
[ 5 25 31 38 51];30;2
[ 5 18 25 38 51];30;2
[25 31 38 44 51];30;2
[12 18 38 44 51];30;2
[12 18 31 38 51];30;2
[ 5 12 38 44 51];30;2
[ 5 12 31 38 51];30;2
[12 31 38 44 51];30;2
[12 17 25 30 51];31;2
[ 4 12 17 25 38];31;2
[ 4 12 25 30 38];31;2
[ 4 12 25 38 43];31;2
[12 17 25 30 38];31;2
[12 17 25 38 43];31;2
[12 25 30 38 43];31;2
[ 4 12 17 25 51];31;2
[ 4 12 25 30 51];31;2
[ 4 12 25 43 51];31;2
[12 17 25 43 51];31;2
[25 30 38 43 51];31;2
[ 4 12 17 38 51];31;2
[ 4 12 30 38 51];31;2
[ 4 12 38 43 51];31;2
[12 17 30 38 51];31;2
[12 17 38 43 51];31;2
[12 30 38 43 51];31;2
[ 4 17 25 38 51];31;2
[ 4 25 30 38 51];31;2
[ 4 25 38 43 51];31;2
[17 25 30 38 51];31;2
[17 25 38 43 51];31;2
[12 25 30 43 51];31;2
[ 3 12 25 42 51];32;2
[ 3 12 25 29 51];32;2
[ 3 12 16 25 51];32;2
[12 25 29 38 42];32;2
[12 16 25 29 51];32;2
[12 16 25 29 38];32;2
[ 3 12 25 38 42];32;2
[ 3 12 25 29 38];32;2
[ 3 12 16 25 38];32;2
[12 16 25 38 42];32;2
[12 16 25 42 51];32;2
[25 29 38 42 51];32;2
